Collared titi monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Colombian black-handed titi monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Lucifer titi monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Red-headed titi monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Ashy black titi monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Baptista Lake titi monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Brown titi monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Caquetá titi monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Chestnut-bellied titi monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Coppery titi monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Hershkovitz's titi monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Hoffmanns's titi monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Madidi titi monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Milton's titi monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Olalla brothers' titi monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Ornate titi monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Prince Bernhard's titi monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Red-bellied titi monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Rio Beni titi monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Rio Mayo titi monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Stephen Nash's titi monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Toppin's titi monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Urubamba brown titi monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Vieira's titi monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
White-coated titi monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
White-eared titi monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
White-tailed titi monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
